ID Enrollment Status,Enrollment Status,ID Year,Year,Enrollment,University,ID University,Slug University,share
2,Part time,2016,2016,2357,University of Michigan-Ann Arbor,170976,university-of-michigan-ann-arbor,0.052708082
2,Part time,2016,2016,9176,New York University,193900,new-york-university,0.181523244
2,Part time,2016,2016,1615,University of Rochester,195030,university-of-rochester,0.144080649
2,Part time,2016,2016,2259,University of Virginia-Main Campus,234076,university-of-virginia-main-campus,0.094526739
1,Full time,2015,2015,5105931,Doctoral Universities,DOC,doctoral-universities,0.783489087
2,Part time,2015,2015,1410983,Doctoral Universities,DOC,doctoral-universities,0.216510913
1,Full time,2015,2015,2819994,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity,0.837724415
2,Part time,2015,2015,546261,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity,0.162275585
1,Full time,2015,2015,10250,Tulane University of Louisiana,160755,tulane-university-of-louisiana,0.820985182
1,Full time,2015,2015,13069,Boston College,164924,boston-college,0.910477916
1,Full time,2015,2015,41114,University of Michigan-Ann Arbor,170976,university-of-michigan-ann-arbor,0.941879911
1,Full time,2015,2015,40777,New York University,193900,new-york-university,0.815099846
1,Full time,2015,2015,9470,University of Rochester,195030,university-of-rochester,0.852769023
1,Full time,2015,2015,21747,University of Virginia-Main Campus,234076,university-of-virginia-main-campus,0.910563999
2,Part time,2015,2015,2235,Tulane University of Louisiana,160755,tulane-university-of-louisiana,0.179014818
2,Part time,2015,2015,1285,Boston College,164924,boston-college,0.089522084
2,Part time,2015,2015,2537,University of Michigan-Ann Arbor,170976,university-of-michigan-ann-arbor,0.058120089
2,Part time,2015,2015,9250,New York University,193900,new-york-university,0.184900154
2,Part time,2015,2015,1635,University of Rochester,195030,university-of-rochester,0.147230977
2,Part time,2015,2015,2136,University of Virginia-Main Campus,234076,university-of-virginia-main-campus,0.089436001
1,Full time,2014,2014,5047167,Doctoral Universities,DOC,doctoral-universities,0.784634757
2,Part time,2014,2014,1385338,Doctoral Universities,DOC,doctoral-universities,0.215365243
1,Full time,2014,2014,2785665,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity,0.838142854
2,Part time,2014,2014,537951,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity,0.161857146
1,Full time,2014,2014,10292,Tulane University of Louisiana,160755,tulane-university-of-louisiana,0.816630961
1,Full time,2014,2014,13024,Boston College,164924,boston-college,0.909687784
1,Full time,2014,2014,41101,University of Michigan-Ann Arbor,170976,university-of-michigan-ann-arbor,0.942143266
1,Full time,2014,2014,39898,New York University,193900,new-york-university,0.809717092
1,Full time,2014,2014,9436,University of Rochester,195030,university-of-rochester,0.853164557
1,Full time,2014,2014,21640,University of Virginia-Main Campus,234076,university-of-virginia-main-campus,0.91184898
2,Part time,2014,2014,2311,Tulane University of Louisiana,160755,tulane-university-of-louisiana,0.183369039
2,Part time,2014,2014,1293,Boston College,164924,boston-college,0.090312216
2,Part time,2014,2014,2524,University of Michigan-Ann Arbor,170976,university-of-michigan-ann-arbor,0.057856734
2,Part time,2014,2014,9376,New York University,193900,new-york-university,0.190282908
2,Part time,2014,2014,1624,University of Rochester,195030,university-of-rochester,0.146835443
2,Part time,2014,2014,2092,University of Virginia-Main Campus,234076,university-of-virginia-main-campus,0.08815102
1,Full time,2013,2013,4787984,Doctoral Universities,DOC,doctoral-universities,0.778473731
2,Part time,2013,2013,1362492,Doctoral Universities,DOC,doctoral-universities,0.221526269
1,Full time,2013,2013,2739577,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity,0.838752747
2,Part time,2013,2013,526674,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity,0.161247253
1,Full time,2013,2013,10572,Tulane University of Louisiana,160755,tulane-university-of-louisiana,0.81712784
1,Full time,2013,2013,12916,Boston College,164924,boston-college,0.902648683
1,Full time,2013,2013,41152,University of Michigan-Ann Arbor,170976,university-of-michigan-ann-arbor,0.941477923
1,Full time,2013,2013,35096,New York University,193900,new-york-university,0.786923474
1,Full time,2013,2013,9284,University of Rochester,195030,university-of-rochester,0.84246824
