ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Carnegie Parent,Carnegie Parent,ID Carnegie,Carnegie,ID University,University,ID Degree,Degree,Completions,Slug University,Slug CIP6
5,Cultural & Gender Studies,501,Area Studies,50102,American & U.S. Studies,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,7,new-york-university,american-us-studies
5,Cultural & Gender Studies,501,Area Studies,50104,East Asian Studies,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,15,new-york-university,east-asian-studies
5,Cultural & Gender Studies,501,Area Studies,50106,European Studies,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,1,new-york-university,european-studies
5,Cultural & Gender Studies,501,Area Studies,50107,Latin American Studies,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,9,new-york-university,latin-american-studies
5,Cultural & Gender Studies,501,Area Studies,50108,Near & Middle Eastern Studies,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,11,new-york-university,near-middle-eastern-studies
5,Cultural & Gender Studies,501,Area Studies,50130,Spanish & Iberian Studies,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,0,new-york-university,spanish-iberian-studies
5,Cultural & Gender Studies,501,Area Studies,50199,Other Area Studies,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,1,new-york-university,other-area-studies
5,Cultural & Gender Studies,502,"Ethnic, Cultural, & Gender Group Studies",50200,Ethnic Studies,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,1,new-york-university,ethnic-studies
5,Cultural & Gender Studies,502,"Ethnic, Cultural, & Gender Group Studies",50201,African-American & Black Studies,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,7,new-york-university,african-american-black-studies
5,Cultural & Gender Studies,502,"Ethnic, Cultural, & Gender Group Studies",50206,Asian-American Studies,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,2,new-york-university,asian-american-studies
5,Cultural & Gender Studies,502,"Ethnic, Cultural, & Gender Group Studies",50299,"Other Ethnic, Minority, Gender, & Group Studies",2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,8,new-york-university,other-ethnic-minority-gender-group-studies
9,Communications,901,Communication and Media Studies,90101,Speech Communication & Rhetoric,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,0,new-york-university,speech-communication-rhetoric
9,Communications,904,Journalism,90401,Journalism,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,103,new-york-university,journalism-090401
9,Communications,907,"Radio, Television, & Digital Communication",90702,Digital Communication & Multimedia,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,290,new-york-university,digital-communication-multimedia
9,Communications,999,Other Communication Studies,99999,"Other Communication, Journalism, & Related Programs",2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,0,new-york-university,other-communication-journalism-related-programs
10,Communication Technologies,1003,Graphic Communications,100304,"Animation, Interactive Technology, Video Graphics, & Special Effects",2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,15,new-york-university,animation-interactive-technology-video-graphics-special-effects
11,Computer and Information Sciences and Support Services,1101,General Computer & Information Sciences,110101,General Computer & Information Sciences,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,384,new-york-university,general-computer-information-sciences-110101
11,Computer and Information Sciences and Support Services,1101,General Computer & Information Sciences,110103,Information Technology,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,63,new-york-university,information-technology
11,Computer and Information Sciences and Support Services,1101,General Computer & Information Sciences,110199,Other Computer & Information Sciences,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,6,new-york-university,other-computer-information-sciences
11,Computer and Information Sciences and Support Services,1107,Computer Science,110701,Computer Science,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,0,new-york-university,computer-science-110701
11,Computer and Information Sciences and Support Services,1108,Computer Software & Media Applications,110899,Other Computer Software & Media Applications,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,32,new-york-university,other-computer-software-media-applications
11,Computer and Information Sciences and Support Services,1110,Computer Technology Administration & Management,111004,Web Multimedia Management & Webmaster,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,0,new-york-university,web-multimedia-management-webmaster
11,Computer and Information Sciences and Support Services,1110,Computer Technology Administration & Management,111099,Other Computer & Information Technology Services Management,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,0,new-york-university,other-computer-information-technology-services-management
11,Computer and Information Sciences and Support Services,1199,Other Computer Service Studies,119999,Other Computer & Information Support Services,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,3,new-york-university,other-computer-information-support-services
13,Education,1301,General Education,130101,General Education,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,13,new-york-university,general-education-130101
13,Education,1312,Teacher Education at Specific Levels & Methods,131202,Elementary Education & Teaching,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,31,new-york-university,elementary-education-teaching
13,Education,1312,Teacher Education at Specific Levels & Methods,131210,Early Childhood Education & Teaching,2019,2019,DOC,Doctoral Universities,15,Doctoral Universities: Highest Research Activity,193900,New York University,5,Bachelors Degree,19,new-york-university,early-childhood-education-teaching
